iter	Passed	Remaining
348	1007	1878
349	1008	1873
350	1010	1868
351	1015	1869
352	1018	1866
353	1020	1861
354	1022	1857
355	1024	1852
356	1030	1855
357	1032	1851
358	1034	1846
359	1036	1841
360	1037	1837
361	1043	1838
362	1045	1834
363	1047	1829
364	1049	1825
365	1050	1820
366	1057	1823
367	1059	1818
368	1061	1814
369	1063	1810
370	1065	1805
371	1066	1801
372	1068	1796
373	1070	1792
374	1072	1787
375	1076	1786
376	1078	1782
377	1080	1778
378	1082	1773
379	1084	1768
380	1085	1764
381	1087	1760
382	1089	1755
383	1091	1751
384	1093	1746
385	1094	1741
386	1099	1741
387	1101	1737
388	1103	1733
389	1105	1728
390	1106	1723
391	1111	1723
392	1112	1718
393	1115	1715
394	1118	1712
395	1120	1709
396	1122	1704
397	1124	1700
398	1127	1697
399	1129	1693
400	1130	1689
401	1132	1685
402	1135	1682
403	1137	1678
404	1142	1679
405	1145	1675
406	1147	1672
407	1149	1668
408	1151	1664
409	1156	1663
410	1157	1659
411	1159	1654
412	1161	1650
413	1163	1646
414	1165	1643
415	1167	1638
416	1169	1634
417	1171	1630
418	1178	1633
419	1179	1629
420	1181	1625
421	1184	1622
422	1186	1618
423	1189	1615
424	1191	1611
425	1193	1607
426	1195	1603
427	1200	1604
428	1201	1599
429	1203	1595
430	1205	1591
431	1207	1587
432	1214	1590
433	1216	1586
434	1218	1582
435	1219	1578
436	1221	1574
437	1223	1569
438	1225	1566
439	1227	1562
440	1229	1558
441	1235	1559
442	1237	1555
443	1238	1551
444	1240	1547
445	1243	1544
446	1245	1540
447	1247	1536
448	1249	1532
449	1250	1528
450	1253	1526
451	1255	1522
452	1257	1518
453	1259	1514
454	1261	1510
455	1263	1507
456	1267	1505
457	1269	1501
458	1270	1497
459	1272	1493
460	1274	1490
461	1276	1486
462	1279	1483
463	1281	1480
464	1283	1476
465	1285	1472
466	1286	1468
467	1289	1465
468	1291	1461
469	1294	1459
470	1296	1455
471	1301	1456
472	1303	1452
473	1306	1449
474	1308	1445
475	1310	1442
476	1315	1441
477	1317	1438
478	1320	1436
479	1322	1432
480	1327	1432
481	1330	1430
482	1332	1426
483	1334	1423
484	1340	1423
485	1343	1421
486	1345	1417
487	1347	1413
488	1349	1410
489	1353	1408
490	1355	1404
491	1356	1401
492	1358	1397
493	1360	1393
494	1364	1391
495	1365	1387
496	1367	1384
497	1369	1380
498	1371	1376
499	1376	1376
500	1379	1373
501	1380	1369
502	1382	1366
503	1384	1362
504	1390	1363
505	1393	1360
506	1394	1356
507	1396	1352
508	1398	1348
509	1401	1346
510	1403	1342
511	1405	1339
512	1406	1335
513	1408	1331
514	1414	1332
515	1416	1328
516	1417	1324
517	1419	1320
518	1421	1317
519	1427	1317
520	1429	1313
521	1430	1310
522	1432	1306
523	1434	1302
524	1440	1303
525	1442	1299
526	1443	1295
527	1445	1292
528	1447	1288
529	1452	1287
530	1453	1283
531	1455	1280
532	1457	1276
533	1458	1272
534	1465	1274
535	1467	1270
536	1469	1266
537	1471	1263
538	1472	1259
539	1476	1258
540	1478	1254
541	1480	1250
542	1481	1247
543	1483	1243
544	1486	1241
545	1489	1238
546	1491	1235
547	1493	1231
548	1496	1229
549	1499	1226
550	1502	1224
551	1503	1220
552	1506	1217
553	1508	1214
554	1514	1214
555	1516	1210
556	1518	1207
557	1519	1203
558	1521	1200
559	1526	1199
560	1528	1196
561	1531	1193
562	1532	1189
563	1538	1189
564	1540	1185
565	1543	1183
566	1545	1180
567	1547	1176
568	1553	1176
569	1554	1173
570	1556	1169
571	1558	1165
572	1561	1163
573	1562	1159
574	1564	1156
575	1567	1153
576	1570	1151
577	1571	1147
578	1573	1143
579	1574	1140
580	1576	1136
581	1582	1136
582	1584	1133
583	1586	1129
584	1587	1126
585	1589	1122
586	1595	1122
587	1597	1119
588	1599	1115
589	1600	1112
590	1602	1109
591	1609	1108
592	1610	1105
593	1612	1102
594	1614	1098
595	1615	1095
596	1619	1093
597	1620	1089
598	1622	1086
599	1624	1082
600	1626	1079
601	1627	1076
602	1629	1072
603	1631	1069
604	1633	1066
605	1635	1063
606	1637	1059
607	1640	1057
608	1642	1054
609	1643	1050
610	1645	1047
611	1647	1044
612	1652	1043
613	1654	1040
614	1656	1036
615	1658	1033
616	1659	1030
617	1666	1030
618	1668	1026
619	1670	1023
620	1671	1020
621	1673	1017
622	1675	1014
623	1677	1011
624	1679	1007
625	1681	1004
626	1682	1000
627	1684	997
628	1686	994
629	1688	991
630	1690	988
631	1692	985
632	1694	982
633	1696	979
634	1699	976
635	1705	976
636	1707	972
637	1708	969
638	1710	966
639	1749	983
640	1753	982
641	1754	978
642	1756	975
643	1758	972
644	1760	969
645	1762	965
646	1764	962
647	1766	959
648	1768	956
649	1769	952
650	1771	949
651	1773	946
652	1776	944
653	1778	940
654	1781	938
655	1782	934
656	1784	931
657	1789	930
658	1791	926
659	1792	923
660	1794	920
661	1797	917
662	1800	915
663	1802	912
664	1804	908
665	1806	905
666	1807	902
667	1812	900
668	1814	897
669	1816	894
670	1819	891
671	1820	888
672	1825	886
673	1827	883
674	1828	880
675	1831	877
676	1833	874
677	1835	871
678	1837	868
679	1839	865
680	1842	862
681	1843	859
682	1845	856
683	1848	853
684	1851	851
685	1853	848
686	1854	845
687	1857	842
688	1860	839
689	1862	836
690	1864	833
691	1866	830
692	1868	827
693	1872	825
694	1874	822
695	1876	819
696	1878	816
697	1921	831
698	1925	828
699	1929	826
700	1930	823
701	1932	820
702	1937	818
703	1939	815
704	1941	812
705	1943	809
706	1945	806
707	1946	802
708	1948	799
709	1950	796
710	1953	794
711	1955	790
712	1957	787
713	1959	784
714	1961	781
715	1963	778
716	1965	775
717	1966	772
718	1972	770
719	1974	767
720	1976	764
721	1978	761
722	1980	758
723	1983	756
724	1985	753
725	1988	750
726	1990	747
727	1991	744
728	1997	742
729	1999	739
730	2001	736
731	2003	733
732	2005	730
733	2011	728
734	2013	725
735	2015	722
736	2016	719
737	2018	716
738	2025	715
739	2026	712
740	2028	709
741	2030	705
742	2031	702
743	2038	701
744	2040	698
745	2042	695
746	2043	692
747	2045	689
748	2051	687
749	2053	684
750	2055	681
751	2057	678
752	2059	675
753	2066	674
754	2068	671
755	2070	668
756	2072	665
757	2074	662
758	2076	659
759	2077	656
760	2080	653
761	2081	650
762	2083	647
763	2085	644
764	2087	641
765	2091	638
766	2092	635
767	2094	632
768	2096	629
769	2097	626
770	2102	624
771	2103	621
772	2105	618
773	2107	615
774	2109	612
775	2111	609
776	2113	606
777	2115	603
778	2116	600
779	2118	597
780	2120	594
781	2124	592
782	2126	589
783	2127	586
784	2129	583
785	2131	580
786	2136	578
787	2138	575
788	2139	572
789	2141	569
790	2143	566
791	2145	563
792	2148	560
793	2150	557
794	2151	554
795	2153	551
796	2155	549
797	2157	546
798	2159	543
799	2161	540
800	2163	537
801	2165	534
802	2169	532
803	2172	529
804	2173	526
805	2175	523
806	2178	520
807	2181	518
808	2182	515
809	2184	512
810	2186	509
811	2188	506
812	2191	504
813	2193	501
814	2195	498
815	2198	495
816	2200	492
817	2201	489
818	2203	487
819	2206	484
820	2207	481
821	2209	478
822	2215	476
823	2217	473
824	2218	470
825	2220	467
826	2224	465
827	2227	462
828	2229	459
829	2231	456
830	2233	454
831	2235	451
832	2237	448
833	2239	445
834	2241	442
835	2247	440
836	2248	437
837	2250	435
838	2252	432
839	2253	429
840	2258	426
841	2260	424
842	2262	421
843	2263	418
844	2265	415
845	2270	413
846	2272	410
847	2273	407
848	2275	404
849	2277	401
850	2281	399
851	2283	396
852	2285	393
853	2286	390
854	2288	388
855	2294	386
856	2296	383
857	2298	380
858	2300	377
859	2301	374
860	2304	371
861	2305	369
862	2307	366
863	2309	363
864	2311	360
865	2313	358
866	2315	355
867	2317	352
868	2319	349
869	2321	346
870	2322	344
871	2327	341
872	2329	338
873	2331	336
874	2333	333
875	2335	330
876	2339	328
877	2341	325
878	2343	322
879	2346	319
880	2348	317
881	2350	314
882	2352	311
883	2354	308
884	2356	306
885	2358	303
886	2360	300
887	2362	297
888	2365	295
889	2367	292
890	2369	289
891	2372	287
892	2374	284
893	2376	281
894	2378	279
895	2380	276
896	2382	273
897	2387	271
898	2389	268
899	2391	265
900	2395	263
901	2397	260
902	2399	257
903	2401	254
904	2403	252
905	2405	249
906	2407	246
907	2409	244
908	2411	241
909	2418	239
910	2420	236
911	2421	233
912	2423	230
913	2425	228
914	2427	225
915	2429	222
916	2431	220
917	2433	217
918	2435	214
919	2438	212
920	2440	209
921	2442	206
922	2444	203
923	2445	201
924	2450	198
925	2452	195
926	2454	193
927	2456	190
928	2457	187
929	2461	185
930	2463	182
931	2464	179
932	2466	177
933	2468	174
934	2469	171
935	2473	169
936	2475	166
937	2477	163
938	2479	161
939	2480	158
940	2484	155
941	2486	153
942	2487	150
943	2489	147
944	2491	145
945	2494	142
946	2496	139
947	2498	137
948	2500	134
949	2502	131
950	2504	129
951	2506	126
952	2508	123
953	2510	121
954	2512	118
955	2514	115
956	2516	113
957	2518	110
958	2520	107
959	2522	105
960	2525	102
961	2526	99
962	2529	97
963	2531	94
964	2533	91
965	2534	89
966	2536	86
967	2538	83
968	2540	81
969	2543	78
970	2545	76
971	2546	73
972	2552	70
973	2555	68
974	2557	65
975	2559	62
976	2562	60
977	2564	57
978	2565	55
979	2567	52
980	2570	49
981	2573	47
982	2574	44
983	2576	41
984	2578	39
985	2580	36
986	2588	34
987	2590	31
988	2591	28
989	2593	26
990	2596	23
991	2600	20
992	2601	18
993	2603	15
994	2605	13
995	2606	10
996	2611	7
997	2613	5
998	2615	2
999	2617	0
